realization_month,short_gross_return
2001-02-28,0.38700390705325916
2001-03-31,0.2410451687375383
2001-04-30,-0.32361783386993775
2001-05-31,0.09723756665926718
2001-06-30,0.09252593306247335
2001-07-31,0.06781216821026116
2001-08-31,0.04492376791053132
2001-09-30,0.15787025290694987
2001-10-31,-0.1504412735644789
2001-11-30,-0.18883793607667654
2001-12-31,0.019874474080546652
2002-01-31,0.025846273345672407
2002-02-28,0.16477345747449113
2002-03-31,-0.11590011026595522
2002-04-30,0.10504175500066648
2002-05-31,0.07509828678262179
2002-06-30,0.19634044839176626
2002-07-31,0.12788165533000687
2002-08-31,0.0005836251613813927
2002-09-30,0.15910553504712394
2002-10-31,-0.08189259542347793
2002-11-30,-0.15949139551095465
2002-12-31,0.06507806740730528
2003-01-31,0.021441140065192293
2003-02-28,-0.0020747259269849375
2003-03-31,0.013656088145075374
2003-04-30,-0.14990284540397084
2003-05-31,-0.12643778549558563
2003-06-30,-0.020760352901157225
2003-07-31,-0.04444200298818639
2003-08-31,-0.10493699693047473
2003-09-30,0.02382542286638566
2003-10-31,-0.08104588641215105
2003-11-30,-0.03751467485975756
2003-12-31,-0.03023646594794624
2004-01-31,-0.08774846837783119
2004-02-29,0.014619300366643469
2004-03-31,0.04853126337715725
2004-04-30,0.07203835009412432
2004-05-31,-0.04375090774041076
2004-06-30,-0.026771852876145405
2004-07-31,0.061159671379258616
2004-08-31,0.029283645037260553
2004-09-30,-0.030450858258338882
2004-10-31,-0.006765169951614383
2004-11-30,-0.07831310291293614
2004-12-31,-0.04250642381999771
2005-01-31,0.03420575258768311
2005-02-28,-0.0015958639256385943
2005-03-31,0.025910182133762786
2005-04-30,-0.013344946290614735
2005-05-31,-0.039420102547295055
2005-06-30,-0.0343518503624486
2005-07-31,-0.07113158957866174
2005-08-31,-0.012164521811316666
2005-09-30,-0.019691943218199687
2005-10-31,0.056732133094452845
2005-11-30,-0.05436982202561116
2005-12-31,-0.02648125729433768
2006-01-31,-0.09335950603116247
2006-02-28,0.004545307305938244
2006-03-31,-0.045688633567776
2006-04-30,-0.012406636485642017
2006-05-31,0.03119083526046079
2006-06-30,0.012037674958440193
2006-07-31,0.04337123388195733
2006-08-31,-0.033270777362820615
2006-09-30,-0.016137452332514738
2006-10-31,-0.039222171170653075
2006-11-30,-0.05544680622240235
2006-12-31,-0.006729067029958487
2007-01-31,-0.03482284978212435
2007-02-28,-0.01585678806978125
2007-03-31,-0.01761175782765297
2007-04-30,-0.0419294668573741
2007-05-31,-0.023505903305713227
2007-06-30,0.019377777145070548
2007-07-31,0.01881719991308277
2007-08-31,0.0033303116711494397
2007-09-30,-0.015196322615611572
2007-10-31,-0.03326677622455741
2007-11-30,0.07792376715005411
2007-12-31,0.0417874134792028
2008-01-31,0.0424083899577263
2008-02-29,0.039202622453743736
2008-03-31,-0.002980641403811812
2008-04-30,-0.023957555619032973
2008-05-31,-0.061836642217628975
2008-06-30,0.09070357023883843
2008-07-31,0.015153569592627066
2008-08-31,-0.051814632895770166
2008-09-30,0.12641294337500822
2008-10-31,0.23520821746011344
2008-11-30,0.11291679851414069
2008-12-31,-0.06785860567835632
2009-01-31,0.030340935344887993
2009-02-28,0.16267369034005089
2009-03-31,-0.05973165941793391
2009-04-30,-0.22346902935429216
2009-05-31,-0.09647468791082964
2009-06-30,-0.008489809963103234
2009-07-31,-0.1607410092258145
2009-08-31,-0.08473193001365564
2009-09-30,-0.11976524503360624
2009-10-31,0.07351503749275336
2009-11-30,-0.07719454535037672
2009-12-31,-0.10432026116550024
2010-01-31,0.05860507884067487
2010-02-28,-0.05919422645545117
2010-03-31,-0.12382507551737283
2010-04-30,-0.033328973892588175
2010-05-31,0.09813832857491789
2010-06-30,0.0798873538363047
2010-07-31,-0.0856117004366259
2010-08-31,0.04474069469118764
2010-09-30,-0.08674730316208368
2010-10-31,-0.03636241633073025
2010-11-30,-0.0158004919802488
2010-12-31,-0.07291258997942163
2011-01-31,-0.028045306889398873
