strategy,symbol,entry_date,exit_date,entry_price,exit_price,holding_sessions,realized_return,realized_r,close_mfe,close_mae,intraday_high_mfe,intraday_low_mae,mfe_date,mae_date,sessions_entry_to_mfe,sessions_mfe_to_exit,sessions_mae_to_exit,halfway_return,max_drawdown_from_unrealized_peak,mfe_capture_ratio,profit_given_back,best_observed_exit_price,worst_observed_price,hindsight_best_exit_return,first_meaningful_loss_sessions,return_at_first_meaningful_loss,loser_delay,fraction_sessions_below_entry,loss_arrival,max_recovery_after_mae,once_meaningfully_profitable,material_recovery_after_mae,never_materially_recovered,entry_rank,exit_rank,entry_score,exit_score,removal_reason,exit_trailing_5d_return,exited_still_trending_strongly,winner_peak_early_decay,winner_pattern,first5_return,first5_close_mfe,first5_close_mae,first5_intraday_mfe,first5_intraday_mae,post_exit_5d_return,post_exit_5d_mfe,post_exit_5d_mae,post_exit_10d_return,post_exit_10d_mfe,post_exit_10d_mae,post_exit_20d_return,post_exit_20d_mfe,post_exit_20d_mae,post_exit_40d_return,post_exit_40d_mfe,post_exit_40d_mae,exit_rank_bucket,prior_rebalance_rank,rank_deterioration,large_winner,large_loser
Market-Residual Momentum,CSCO,2021-08-23,2021-09-01,50.30248588966139,51.319839623801826,7,0.020224720829344456,,0.025929114790792518,0.0,0.041832347224669775,-0.0019014139767609128,2021-08-25,2021-08-22,3,5,8,0.02333600719394524,-0.005704396869112838,0.7800004355153033,0.005704393961448062,51.60678482055664,50.30248588966139,0.025929114790792518,,,,0.0,sudden,0.025929114790792518,True,True,False,3,7,-0.00392859135753143,-0.004413430403463425,fell below top-N,-0.0055602251528616975,False,False,steady winner,0.02022471792167968,0.025929114790792518,0.011927440961211566,0.041832347224669775,-0.0019014139767609128,-0.005760942173782202,0.011860509711244305,-0.008980166008563772,-0.02473748507739748,0.011860509711244305,-0.03320918844479126,-0.059979837941918634,0.011860509711244305,-0.06421556313611909,-0.04168893177910493,0.011860509711244305,-0.09627414892625574,just outside boundary,3,4,False,False
Market-Residual Momentum,MSFT,2021-08-23,2021-09-01,291.58513292551737,291.2198217734967,7,-0.0012528456041481784,,0.0046166327996186585,-0.01371797774748773,0.00791416471888895,-0.021170390452368126,2021-08-23,2021-08-26,1,7,4,-0.01371797774748773,-0.01833461054710639,,0.005869478403766837,292.9312744140625,287.5851745605469,0.0046166327996186585,,,,0.6666666666666666,sudden,0.014839457995056704,False,True,False,5,6,-0.004251480338590907,-0.0043626402563750055,fell below top-N,-0.00043055645612422033,False,True,,-0.011640248492710281,0.0046166327996186585,-0.01371797774748773,0.00791416471888895,-0.021170390452368126,-0.008782964765503776,0.0076600764738055105,-0.01782971561988056,0.0064384228048735,0.008089296104890176,-0.02902244165779766,-0.062304030635101704,0.008089296104890176,-0.06643121693013443,0.06702552478032109,0.07669961842322359,-0.07468566487053474,just outside boundary,5,1,False,False
Market-Residual Momentum,WMT,2021-09-01,2021-10-01,46.315262584730434,43.71009259085146,21,-0.0562486283892486,,0.011452741406829059,-0.0562486283892486,0.014163461159895085,-0.056316199438085746,2021-09-03,2021-10-01,3,19,0,-0.017145671413230534,-0.06770136979607766,,0.06770136979607766,46.845699310302734,43.71009259085146,0.011452741406829059,8.0,-0.022092848185478964,-0.03415578020376964,0.8260869565217391,gradual,0.0,True,False,True,5,6,-0.00401021308957672,-0.0034083311383668047,fell below top-N,-0.026471865069548906,False,True,,-0.0006778694679486774,0.011452741406829059,-0.001965379120887789,0.014163461159895085,-0.006709172257772789,-0.00014334644891367265,0.010340663859488064,-0.03267239547627443,0.004380433324663313,0.010914849012221284,-0.03267239547627443,0.06599172184195368,0.08107156256343129,-0.03267239547627443,0.04049989336345061,0.09148363509487001,-0.03267239547627443,just outside boundary,5,1,False,False
Market-Residual Momentum,MSFT,2021-10-01,2021-11-01,271.2679145751983,318.6139133681184,21,0.1745359338462984,,0.1754573392261325,0.0,0.17680430121582136,-0.00662827676155342,2021-10-29,2021-09-30,21,1,22,0.07830039995446514,-0.021232081680395698,0.9947485503661573,0.0009214053798340949,318.8638610839844,271.2679145751983,0.1754573392261325,,,,0.0,sudden,0.1754573392261325,True,True,False,5,6,-0.003370548864954692,-0.0034631812092449366,fell below top-N,0.07623381804311946,True,False,late acceleration,0.04512320514556434,0.04512320514556434,0.003509202550198154,0.051468056524166306,-0.00662827676155342,0.014184143106134917,0.022422951274181813,-0.015059121363374173,0.01617574477614747,0.022422951274181813,-0.015059121363374173,0.017762474601830336,0.05718755353117366,-0.015059121363374173,0.03173060112235393,0.05718755353117366,-0.040830405022318494,just outside boundary,5,1,False,False
Market-Residual Momentum,CSCO,2021-11-01,2021-12-01,48.90899307418953,48.61134850933811,21,-0.006085681715015667,,0.03400742136707269,-0.046894606087006574,0.04940030705925591,-0.08573478675828783,2021-11-10,2021-11-19,8,14,7,0.02505818040449803,-0.08090202745407926,,0.040093103082088355,50.572261810302734,46.61542510986328,0.03400742136707269,13.0,-0.040093136157954845,0.03400745444293918,0.391304347826087,sudden,0.044925751202064435,True,True,False,5,12,-0.003283493677507243,-0.005873415223656142,fell below top-N,-0.008318260908074304,False,False,,0.02147848401946839,0.031859884321024934,0.004116691366268688,0.0368714975104123,-0.006622497565032304,0.0459211093334535,0.04844225796139323,-0.010804943045393811,0.040338590907181615,0.07167308714853671,-0.010804943045393811,0.15180996163210847,0.15775272901494763,-0.010804943045393811,-0.010591344870889308,0.15775272901494763,-0.014576466472220662,moderate deterioration,5,7,False,False
Market-Residual Momentum,PG,2021-12-01,2022-02-01,128.1786535441873,143.05235236357854,42,0.11603881307946318,,0.13365589216265672,0.0,0.14768952694603232,0.0,2022-01-05,2021-11-30,25,18,43,0.1293066511386336,-0.05163972256222871,0.8681907785871955,0.017617079083193543,145.31048583984375,128.1786535441873,0.13365589216265672,,,,0.0,sudden,0.13365589216265672,True,True,False,5,6,-0.0032649192263389804,-0.004699856203686736,fell below top-N,0.005703707565794858,False,False,volatile winner,0.04763567822434833,0.050397240925190934,0.010700640163322284,0.053365757507408684,0.0,-0.002923064925986596,0.026058784221668185,-0.01903101987913114,-0.025188157389785748,0.026058784221668185,-0.04620939429404036,-0.04652077770768592,0.026058784221668185,-0.06362350717349596,-0.033148730338835586,0.026058784221668185,-0.11045478300318723,just outside boundary,2,4,False,False
Market-Residual Momentum,HON,2022-02-01,2022-03-01,183.22325677321038,168.62123679679962,19,-0.07969523210956131,,0.017751218011798908,-0.12506932510481827,0.01917324998188774,-0.14256998165521184,2022-02-02,2022-02-23,2,18,4,-0.08453898078416167,-0.14282054311661718,,0.09744645012136022,186.47569274902344,160.30764770507812,0.017751218011798908,2.0,-0.059775410685051655,-0.019919821424509654,0.8571428571428571,sudden,0.05786002981983873,True,True,False,5,6,-0.0044826908074764305,-0.005796101363352735,fell below top-N,0.04510703057169896,True,True,,-0.05897034523394584,0.017751218011798908,-0.06095240354948506,0.01917324998188774,-0.07796803619997483,-0.026975460296983056,0.024784860247829776,-0.027723261774844854,-0.021420277453159997,0.024784860247829776,-0.027723261774844854,0.05604062962592993,0.05955862142408175,-0.027723261774844854,0.0024568103829534227,0.07147009046911701,-0.027723261774844854,just outside boundary,5,1,False,True
Market-Residual Momentum,VZ,2021-09-01,2022-04-01,40.09418185052538,38.08795597209068,147,-0.05003783057387434,,0.026115705196732675,-0.08434408364122836,0.031329117312327126,-0.0858159050191829,2022-03-04,2021-12-01,128,20,84,-0.06999398337156504,-0.09216237868811916,,0.07615353577060702,41.14126968383789,36.71247482299805,0.026115705196732675,26.0,-0.02050371042943666,-0.02953412014443768,0.9060402684563759,sudden,0.11045978883796104,True,True,False,2,7,-0.003300249633539809,-0.007013045200712775,fell below top-N,-0.006630122735393984,False,False,,-0.0016363912412641346,0.0078182950468908,-0.0032728579289585946,0.009091016906951133,-0.0038181899485412174,0.044910567518835265,0.05106062869518291,-0.00392004627881215,0.06792357063598864,0.08518335839529123,-0.00392004627881215,-0.08146264282764548,0.10125289811286176,-0.08404171063550347,0.01971538838561182,0.10125289811286176,-0.09634189322452524,just outside boundary,5,2,False,False
Market-Residual Momentum,PG,2022-03-01,2022-04-01,137.2871296383404,136.58434279124958,23,-0.005119102198015035,,0.00745313034876105,-0.07186800147546568,0.013998364387118656,-0.07309930537271381,2022-03-29,2022-03-11,21,3,15,-0.02948582597942606,-0.07724694233367113,,0.012572232546776085,138.3103485107422,127.42057800292969,0.00745313034876105,5.0,-0.04873270840842636,0.043613606210411326,0.8,sudden,0.07932113182422673,False,True,False,3,8,-0.00485655107391425,-0.007767111232717561,fell below top-N,-0.00019649959151424312,False,False,,-0.009526170149775637,0.00537894085820545,-0.009526170149775637,0.01004531618596749,-0.02054293623459469,0.034783694574009205,0.0382360053687556,-0.014721590678684393,0.03289467231139054,0.05009104015746213,-0.014721590678684393,0.05165921334520385,0.08015321267562792,-0.014721590678684393,-0.025831587833547887,0.08015321267562792,-0.08832202385043952,just outside boundary,3,5,False,False
Market-Residual Momentum,KO,2021-08-23,2022-06-01,48.87833099107188,55.96564388937412,195,0.1449990773947829,,0.1953704290248539,-0.06712521492111978,0.21324390070889399,-0.06836991998661446,2022-04-21,2021-09-30,168,28,168,0.08272890539552535,-0.1121167507106553,0.7421751496299215,0.050371351630071004,58.427711486816406,45.59736251831055,0.1953704290248539,18.0,-0.032100368747820074,0.17709944614260298,0.3248730964467005,sudden,0.2624956439459737,True,True,False,1,7,-0.003339323750220391,-0.00899027054046142,fell below top-N,-0.00999665492988655,False,False,recovery winner,-0.017998696475911125,-0.004058576842558725,-0.01993974752592942,0.001411714022227173,-0.021527914886103283,-0.002680498734417114,0.0055187670017546875,-0.020655966717649465,-0.0593198368149771,0.0055187670017546875,-0.06837246909737837,-0.003733524375882702,0.012624698938116019,-0.07488404903731438,0.01738921982184416,0.02358312521868844,-0.07488404903731438,just outside boundary,2,5,False,False
